// lang CZE
// ver 0.891
// for game ver 1.0b
// author rcx
// in progress - editor
// Codes can't start with : §, -, 0-9

//===System Errors
AssertCheck	---

//===Init
LoadingGame	Nahrávám hru
LoadingFailed	Nahrátí hry se nepodařilo

ContactMG	www.managames.com/mail_en

InvalidKey	Váš registrační klíč je chybný!\nProsím, ozvěte se našemu týmu [>ContactMG],\npošlete jméno, příjmení a zákaznické číslo.\n
InvalidKeyTitle	Chybný klíč

TrialInfo	Hru si užíváte v testovacím režimu.\n\nPokud jste si hru koupili, v což doufáme, prosím zadejte své zákaznické číslo.
Register	Registrace plné verze hry
EnterCustomerID	Zajedte zákaznické číslo
Registered	{0}, podařilos e Vám úspěšně zaregistrovat tuto hru.\n\nPřejeme hodně dobrodružství a zábavy !
CantWWW		Nemohu se připojit na server managames.com .\n\nProsím zkontrolujte své připojení k internetu a zkuste to znova.
ContactingWWW	Připojuji se na server managames.com . Prosím vydržte.
WrongID		Zadáno chybné zákaznické číslo.\n\nZkuste to prosím znovu. Pokud si myslíte, že je chyba na našem konci,\nozvěte se našemu týmu [>ContactMG] a pošlete jim své zákaznické číslo.
FailedKey	Klíč se podařilo stáhnout, ale vypadá to, že nefunguje !\n\nProsím, ozvěte se našemu týmu [>ContactMG],\npošlete jméno, příjmení a zákaznické číslo.
RegisterInfo	Registrační informace
Info		Informace
RegInfo		Hra registrována na:\n\n{0}\n{1}\n

//=== Global
On		Zapnuto
Off		Vypnuto
Default		Původní
Back		Zpět
Ok		Potvrdit
Auto		Automaticky
None		Žádný
Done		Hotovo
Cancel		Zrušit
Remove		Odstranit
Warning		Upozornění
Confirm		Potvrdit
Submit		Odeslat

//=== Main Menu
StartLevel	Začít patro
StartGame	Začít novou hru
ResumeGame	Pokračovat ve hře
Options		Nastavení
MapEditor	Editor map
Exit		Konec
Credits		Závěrečné titulky
ShowDataFolder	Ukázat složku s daty
Build		Verze

//=== Options Menu
FullScreen	Přes celou obrazovku
Windowed	V okně
VideoOptions	Grafika
Controls	Ovládání
GameOptions	Nastavení hry
Interface	Rozhraní
Audio		Zvuk

//=== Game Options Menu
Difficulty	Obtížnost
DiffAdvanced	Rozšířené nastavení 
EnemyHP		HP nepřátel
EnemyDps	DPS nepřátel
GuiArrows	Zobrazit šipky
TooltipOnCursor	Nápověda vedle ukazatele
GuiDpsLog	Zobrazit historii DPS
DevMode		Vývojářský režim
GhostMode	Jako duch
ShowFps		Zobrazit FPS
Analytics	Analytická data
TipAnalytics	Umožní hře odesílat anonymní analytická data.\nTak se vývojáři v Mana Games dozví, jestli má některý boss příliš tuhý kořínek nebo naopak, jste si ho téměř nevšimli a podobné informace.
AutoSave	Automaticky ukládat po skončení souboje

AutoMapping	Automatické mapování
ConfirmAutoMap	Zapnutí mapování znamená, že nebudete vázání na hledání magického svitku s mapou pro každé patro.\n\nAle také to dramaticky sníží obtížnost hry a atmosféra zoufalosti a ztracenostiv podzemí bude ta tam.\n\nOpravdu nedoporčujeme mapu zapínat, ledaže chcete hru jen proběhnout a rozlehlá, magicky podmanivá patra Vás nezajímají.

GuiScaleTop	Měřítko horního GUI
GuiScaleCenter	Měřítko středního GUI
GuiScaleBottom	Měřítko dolního GUI

Difficulty00	Kojenec	// 0.0 - Kid
Difficulty01	Zvědavec	// 0.2 - Very Easy
Difficulty02	Dobrodruh	// 0.5 - Easy
Difficulty03	Bojovník		// 0.9 - Normal
Difficulty04	Řezník	// 1.0 - Hard
Difficulty05	Stratég	// 1.5 - Very Hard
Difficulty06	Likvidátor	// 2.0 - Impossible

Difficulty07	Aktuální nastavení
Difficulty08	Vlastní

DifficultyInfo	Obtížnost můžete změnit kdykoli během hry.\nStačí jen jít do [>GameOptions].

DescDiff00	Nedá se ani mluvit o obtížnosti. Jediné, co budeš potřebovat, je naučit se léčit svou partičku, ale to jen opravdu ve chvílích nejhorších. Pravá volba pro procházku parkem.
DescDiff01	Ikdyž jsou pro Tebe hry španělskou vesnicí, tak s jedním okem zavřeným by ses na konec hry měl dostat. Pokud nebudeš hru zastavovat pomocí klávesy [>KeyActivePause], tak hra může být i výzvou.
DescDiff02	Už jsi nějakou tu hru hrál a přežití pro Tebe není až takový problém, ale i tak Ti necháme prostor pro drobná zaškobrnutí. Pokud nebudeš hru zastavovat pomocí klávesy [>KeyActivePause], tak hra bude velkou výzvou.
DescDiff03	Pravá volba pro strategické hráče, byť nováčky v této hře - užijete si ji. Hra bez zastavování pomocí klávesy [>KeyActivePause] je téměř nemožná.
DescDiff04	Budeš se muset naučit hrát pomalu poslepu, ale i tak ti jedno či dvě zaškobrtnutí povolíme. Hra bez zastavování pomocí klávesy [>KeyActivePause] je vcelku nemožná.
DescDiff05	Nejen, že se budeš muset naušit hrát téměř jako bůh, ale budeš muset odhalit všechna tajemství a skrýše, abys měl alespoň nějaké vybavení a pár lektvarů. O hraní bez zastavovaní pomocí klávesy [>KeyActivePause] ani neuvažuj.
DescDiff06	Bez hromady štěstí a pár zázraků se dalšího patra nedožiješ, ale od toho jsou výzvy, ne ?
DescDiff07	Ponechat obtížnost, tak jak je nastavena v [>GameOptions].
DescDiff08	Pohraj si s obtížností pomocí šoupátek.

SelectDifficulty	Zvol obtížnost

CheckNewVersion	Ověřovat dostupnost nové verze automaticky
CheckVersionNow	Ověřit dostupnost nové verze právě teď
NoNewVersion	Již si užíváte nejnovější verzi hry.
NewVersion	Nová verze
NewVersionOnWeb	Na serveru je k dispozici nová verze hry.
DownloadNow	Stáhnout ihned !
Changelog	Seznam změn

ChooseLanguage	Choose Language (Změna jazyka)

GameHelpers	Pomocníčci
ItemHighlight	Zvýrazňovat věci
AutoAttackMob	Zaútočit na dalšího nepřítele po smrti aktuálního

AutoPause00	Zastav při prázdné frontě
AutoPause01	Zastav při smrti nepřítele
AutoPause02	Zastav, pokud je někdo KO
AutoPause03	Zastav, pokud je léčitel bez many
AutoPause04	Zastav, pokud je útočník bez many
AutoPause05	Zastav po dlouhém dobití
AutoPause06	Zastav na začátku bitvy
AutoPause07	Zastav, pokud nepřítel útočí na ne-tanka

GlobalIcons	Globální ikony
DigitalCD	Digital Cooldowns

//=== InGame Menu
InGame		Ve-hře
MainMenu	Hlavní menu
BackToEditor	Zpět do Editoru
SaveGame	Uložit hru
LoadGame	Nahrát hru
NewSave		Uložit na novou pozici
QuickSave	Uložit rychle
Overwriting	Přepisuji '<i>{0}</i>' - <b><color=red>Potvrď dalším klikem</color></b>
DefaultSaveName	MojeHra
ImportParty	Importovat bandu
PartyImported	Banda importována
GameSaved	Hra uložena do '{0}'
GameLoaded	Hra nahrána z '{0}'
SelectDungeon	Vybrat patro
SelectMods	Vybrat rozšíření		//##
Dungeon&Mods	Podzemí & Rozšíření		//##
NoSavedGame	Nemáš žádnou uloženou hru
GameOver	Konec hry
LoadLastGame	Nahrát poslední uloženou hru

CheckAccount	Kontrola licenčního klíče online
